사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2021-01,2호선,50,신촌,31,1,"3,737","2,262","9,291","12,666","25,098","25,997","35,756","56,934","25,315","65,169","23,707","42,706","28,384","37,804","33,878","42,420","35,055","48,520","38,488","44,595","45,878","41,479","55,174","42,105","65,969","49,441","67,269","67,573","47,473","43,890","60,651","23,856","55,762","28,646","17,949","12,957","5,623","5,973",1,88,0,0,0,0,0,0,2021-02-03 09:49:40
2021-01,2호선,51,이대,26,0,"2,005","1,138","5,077","9,154","15,255","8,737","19,888","23,013","12,520","20,082","8,803","14,579","9,915","12,433","11,470","13,153","13,518","15,295","13,438","14,406","15,188","14,013","20,855","13,583","25,816","16,371","23,797","23,280","13,714","17,660","12,855","11,150","11,638","14,311","4,843","6,763","1,695","3,109",2,78,0,0,0,0,0,0,2021-02-03 09:49:40
2021-01,2호선,52,아현,12,0,"3,592","1,089","8,442","6,558","21,410","6,673","29,763","13,549","17,181","10,425","11,832","7,738","11,666","7,777","12,527","8,488","12,469","9,494","11,628","10,393","11,758","11,929","14,834","13,091","14,246","18,167","14,857","27,510","8,583","21,445","6,475","13,887","5,374","16,872","2,293","7,303",676,"3,164",1,24,0,0,0,0,0,0,2021-02-03 09:49:40
2021-01,2호선,53,충정로(경기대입구),22,1,"2,485",751,"5,119","4,379","12,220","14,575","17,439","47,564","11,412","23,066","8,552","9,800","8,542","7,501","8,942","7,418","9,543","8,875","10,111","8,070","11,449","8,683","12,179","9,230","19,941","12,174","38,357","17,203","12,868","13,078","8,958","8,694","9,159","10,793","3,254","4,037",725,"1,924",2,75,0,0,0,0,0,0,2021-02-03 09:49:40
2021-01,2호선,54,용답,5,0,"2,103",195,"2,339",763,"5,301","1,456","10,081","2,243","4,977","1,682","3,065","1,485","3,028","1,692","3,056","2,219","3,508","2,429","3,434","2,979","3,150","3,463","3,361","4,622","3,260","5,056","2,868","8,372","1,490","5,760","1,014","3,629",950,"5,892",691,"2,567",185,"1,155",1,7,0,0,0,0,0,0,2021-02-03 09:49:40
2021-01,2호선,55,신답,2,0,811,79,"1,282",532,"4,774",845,"8,015","1,568","3,382",916,"1,673",699,"1,419",886,"1,549","1,018","1,589","1,207","1,490","1,457","1,307","2,093","1,276","2,528","1,500","3,546","1,630","7,732",706,"5,975",472,"2,698",476,"3,595",274,"1,298",50,637,0,6,0,0,0,0,0,0,2021-02-03 09:49:40
2021-01,2호선,56,신설동,11,1,912,323,"1,062","2,005","2,578","5,096","4,841","11,852","3,209","7,103","2,871","5,123","3,582","5,502","4,490","5,496","5,224","5,842","6,515","5,502","7,566","4,980","8,118","3,930","9,346","4,088","9,823","4,529","4,146","3,281","2,777","1,952","2,278","2,218",869,"1,050",188,535,0,124,0,0,0,0,0,0,2021-02-03 09:49:40
2021-01,2호선,57,도림천,0,0,271,283,907,628,"2,520","2,345","2,964","5,219","1,507","2,249","1,725","1,356","1,368","1,184","2,301","1,828","1,440","1,414","1,817","1,720","1,892","1,389","2,534","1,574","2,666","2,009","3,439","2,454","1,849","2,374",859,"1,411",873,"1,702",241,711,98,330,0,23,0,0,0,0,0,0,2021-02-03 09:49:39
2021-01,2호선,58,양천구청,7,0,"3,654",840,"9,058","1,764","25,530","3,887","23,040","7,977","12,113","3,856","7,487","3,423","6,948","3,737","7,508","4,879","7,292","5,554","6,084","5,830","5,922","7,789","6,149","9,148","6,603","13,981","6,637","24,146","2,889","22,012","2,485","12,195","2,276","13,265","1,357","6,742",304,"2,881",0,242,0,0,0,0,0,0,2021-02-03 09:49:40
2021-01,2호선,59,신정네거리,34,0,"6,354","1,085","11,964","3,957","36,642","4,390","34,465","9,970","17,531","6,777","11,323","5,718","10,066","6,818","10,939","7,743","10,568","9,116","9,530","9,220","9,576","12,026","10,344","14,315","10,477","21,268","9,133","37,308","5,255","30,251","4,992","16,035","4,113","17,985","1,698","9,101",450,"3,798",5,195,0,0,0,0,0,0,2021-02-03 09:49:40
